"","looker_id","names_x","X","names_y","Y"
"359",39,"ir_width_left_x1",3165.699,"ir_width_left_y1",3931.113
"360",40,"ir_width_left_x1",3409.717,"ir_width_left_y1",4308.534
"361",1,"ir_width_left_x2",3647.261,"ir_width_left_y2",2844.075
"362",2,"ir_width_left_x2",3805.645,"ir_width_left_y2",3885.938
"363",3,"ir_width_left_x2",4156.708,"ir_width_left_y2",4060.015
"364",4,"ir_width_left_x2",3982.152,"ir_width_left_y2",3897.053
"365",5,"ir_width_left_x2",4085.742,"ir_width_left_y2",3718.251
"366",6,"ir_width_left_x2",3956.111,"ir_width_left_y2",3728.715
"367",7,"ir_width_left_x2",4536.125,"ir_width_left_y2",3754.465
"368",8,"ir_width_left_x2",4359.42,"ir_width_left_y2",3925.649
"369",9,"ir_width_left_x2",4032.653,"ir_width_left_y2",4227.811
"370",10,"ir_width_left_x2",4427.071,"ir_width_left_y2",4291.434
"371",11,"ir_width_left_x2",3920.366,"ir_width_left_y2",4248.736
"372",12,"ir_width_left_x2",4065.589,"ir_width_left_y2",4555.705
"373",13,"ir_width_left_x2",3942.765,"ir_width_left_y2",4089.697
"374",14,"ir_width_left_x2",4290.277,"ir_width_left_y2",4103.103
"375",15,"ir_width_left_x2",4086.302,"ir_width_left_y2",4387.154
"376",16,"ir_width_left_x2",4086.96,"ir_width_left_y2",3868.152
"377",17,"ir_width_left_x2",4085.786,"ir_width_left_y2",3854.638
"378",18,"ir_width_left_x2",4344.201,"ir_width_left_y2",3585.828
"379",19,"ir_width_left_x2",4259.062,"ir_width_left_y2",3579.21
"380",20,"ir_width_left_x2",4323.04,"ir_width_left_y2",4424.193
"381",21,"ir_width_left_x2",4168.964,"ir_width_left_y2",4297.97
"382",22,"ir_width_left_x2",4239.811,"ir_width_left_y2",4240.567
"383",23,"ir_width_left_x2",4232.438,"ir_width_left_y2",4011.26
"384",24,"ir_width_left_x2",4035.389,"ir_width_left_y2",3952.891
"385",25,"ir_width_left_x2",4196.398,"ir_width_left_y2",4003.316
"386",26,"ir_width_left_x2",4248.296,"ir_width_left_y2",4528.312
"387",27,"ir_width_left_x2",3730.835,"ir_width_left_y2",3715.788
"388",28,"ir_width_left_x2",4076.242,"ir_width_left_y2",3342.236
"389",29,"ir_width_left_x2",4599.016,"ir_width_left_y2",3637.636
"390",30,"ir_width_left_x2",4393.665,"ir_width_left_y2",3890.883
"391",31,"ir_width_left_x2",4273.442,"ir_width_left_y2",3432.999
"392",32,"ir_width_left_x2",3779.991,"ir_width_left_y2",3619.763
"393",33,"ir_width_left_x2",4150.119,"ir_width_left_y2",3859.748
"394",34,"ir_width_left_x2",4599.083,"ir_width_left_y2",3697.735
"395",35,"ir_width_left_x2",3843.187,"ir_width_left_y2",4077.367
"396",36,"ir_width_left_x2",3914.995,"ir_width_left_y2",3850.781
"397",37,"ir_width_left_x2",4336.206,"ir_width_left_y2",3690.751
"398",38,"ir_width_left_x2",3756.564,"ir_width_left_y2",3846.242
"399",39,"ir_width_left_x2",3940.926,"ir_width_left_y2",3648.075
"400",40,"ir_width_left_x2",4179.583,"ir_width_left_y2",3952.257
"401",1,"ir_width_right_x1",7194.028,"ir_width_right_y1",2800.56
"402",2,"ir_width_right_x1",7834.208,"ir_width_right_y1",3844.625
