"","looker_id","Gender","ID","set","measure","value"
"443","F23","f","23","left","ir_width_horiz_left_mm",11.838
"444","F23","f","23","right","ir_width_horiz_left_mm",11.838
"445","F24","f","24","left","ir_width_horiz_left_mm",11.158
"446","F24","f","24","right","ir_width_horiz_left_mm",11.158
"447","F25","f","25","left","ir_width_horiz_left_mm",11.882
"448","F25","f","25","right","ir_width_horiz_left_mm",11.882
"449","F26","f","26","left","ir_width_horiz_left_mm",11.956
"450","F26","f","26","right","ir_width_horiz_left_mm",11.956
"451","F28","f","28","left","ir_width_horiz_left_mm",11.396
"452","F28","f","28","right","ir_width_horiz_left_mm",11.396
"453","M01","m","01","left","ir_width_horiz_left_mm",11.491
"454","M01","m","01","right","ir_width_horiz_left_mm",11.491
"455","M02","m","02","left","ir_width_horiz_left_mm",12.115
"456","M02","m","02","right","ir_width_horiz_left_mm",12.115
"457","M03","m","03","left","ir_width_horiz_left_mm",11.775
"458","M03","m","03","right","ir_width_horiz_left_mm",11.775
"459","M04","m","04","left","ir_width_horiz_left_mm",12.504
"460","M04","m","04","right","ir_width_horiz_left_mm",12.504
"461","M05","m","05","left","ir_width_horiz_left_mm",11.883
"462","M05","m","05","right","ir_width_horiz_left_mm",11.883
"463","M06","m","06","left","ir_width_horiz_left_mm",11.835
"464","M06","m","06","right","ir_width_horiz_left_mm",11.835
"465","M07","m","07","left","ir_width_horiz_left_mm",12.094
"466","M07","m","07","right","ir_width_horiz_left_mm",12.094
"467","M08","m","08","left","ir_width_horiz_left_mm",11.829
"468","M08","m","08","right","ir_width_horiz_left_mm",11.829
"469","M09","m","09","left","ir_width_horiz_left_mm",11.859
"470","M09","m","09","right","ir_width_horiz_left_mm",11.859
"471","M10","m","10","left","ir_width_horiz_left_mm",12.096
"472","M10","m","10","right","ir_width_horiz_left_mm",12.096
"473","M11","m","11","left","ir_width_horiz_left_mm",12.22
"474","M11","m","11","right","ir_width_horiz_left_mm",12.22
"475","M12","m","12","left","ir_width_horiz_left_mm",11.702
"476","M12","m","12","right","ir_width_horiz_left_mm",11.702
"477","M13","m","13","left","ir_width_horiz_left_mm",11.655
"478","M13","m","13","right","ir_width_horiz_left_mm",11.655
"479","M14","m","14","left","ir_width_horiz_left_mm",11.959
