"","looker_id","Gender","ID","set","width","width_horiz","sc_width","sc_width_horiz","ir_width","ir_width_horiz","ir_width_alt","height","sc_height","ir_height","complete_area","eye_opening_area","iris_pupil_area","sclera_area","hac","hrc","ril","iris_centroid_y","luminance_slope_abs","whr","ssi","ssi_alt","ssr"
"49","F26","f","26","left",24.5562819864897,24.457,22.3410991000891,22.35,11.9554848500594,11.956,11.8868038791825,10.0099704421956,9.98472582122628,9.9927176219553,167.443,161.877,97.708,64.169,124.433,102.807,0.0650743083835485,58.409,12.745495703121,2.45318226744969,1.86869034424631,1.87948748268787,0.396405913131575
"50","F26","f","26","right",24.7316324168058,24.672,23.3925389814787,23.396,11.8958714266757,11.842,11.676083447849,10.3046643671018,10.26383077293,11.186524459656,174.515,171.495,99.581,71.914,122.093,77.1543,0.0659388579472428,58.845,13.3279116224743,2.40004249878948,2.27912360394471,2.00345767362497,0.419335840695064
"51","F28","f","28","left",27.7037550703871,27.509,23.7659157829022,23.758,11.3865121964542,11.396,10.7221221360629,8.76501042700266,8.72461516334035,9.24983770624558,152.037,144.758,82.796,61.962,123.17,100.884,0.0532667179093005,62.995,13.6399375422199,3.16072129076301,2.087198904534,2.21653097039135,0.428038519460064
"52","F28","f","28","right",27.6199050686276,27.105,24.049025468821,23.83,11.5252183059584,11.396,10.885902264896,9.15709163244999,9.14466721453947,9.13032011859462,155.264,148.395,87.191,61.204,123.823,108.5,0.0695456799771563,61.043,18.0334386787644,3.01623115474251,2.62984151359652,2.20918991220163,0.412439772229523
"53","M01","m","01","left",29.1672674928592,29.06,25.1917944180243,25.176,11.5800655006783,11.491,10.8870420397428,8.83013460051398,8.81046937812297,8.95555606917793,156.56,151.241,85.52,65.721,140,132.411,0.065545321051929,55.531,20.2886789171642,3.30315094983506,2.17544489852399,2.31392460193159,0.434544865479599
"54","M01","m","01","right",27.4225783069353,27.356,23.3071303467415,23.329,11.7708386277274,11.751,11.1713941215855,7.214626111763,7.1701928201393,7.1802674415685,114.48,111.5,72.917,38.583,122.808,120.148,0.0771658513492189,55.591,24.5160002395544,3.80097012404073,3.25055837846893,2.08632244938053,0.346035874439462
"55","M02","m","02","left",28.556707390734,28.564,24.8984941311719,24.89,12.2075187077473,12.115,11.8443149001231,9.57032455000169,9.54797916199047,9.61441181191082,176.381,169.151,97.434,71.717,137.456,101.16,0.0756277655983107,49.652,18.5944834489942,2.98388077034743,2.03960319269226,2.10214726146069,0.423982122482279
"56","M02","m","02","right",28.4687470219537,28.406,24.8150805962826,24.631,12.3474320002177,12.287,11.9822223690309,9.70474485402566,9.67886615993335,9.66461861144383,180.53,172.887,98.257,74.63,123.939,96.1179,0.0676581435760872,52.379,16.7335889611968,2.93348742807438,2.56384169242955,2.07099149323245,0.431669240602243
"57","M03","m","03","left",27.4432285454901,27.461,24.9579189236603,24.922,12.1075236939681,11.775,11.1827757056942,9.04651536038487,8.9985169674121,9.16649181348121,162.849,157.018,86.052,70.966,113.093,128.281,0.0962104018156826,55.99,15.8004079579747,3.03356899891701,2.06135619095208,2.23181789391983,0.451960921677769
"58","M03","m","03","right",26.5621732921085,26.552,24.1518867585951,24.157,11.9837404010601,11.862,11.2583420643157,9.18562897968244,9.14711026694465,9.59713950199477,164.442,157.903,89.118,68.785,93.2339,127.749,0.147234275302933,56.418,12.3299169487939,2.89170979481764,2.64038434584897,2.14524364427925,0.435615536120276
