id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
8m,4161,4,1.7894736842105300,35.75268817204300,2.2916666666666700,F
9m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
10m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
11m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
12m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
13m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
14m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
15m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
16m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
17m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
18m,4161,3,1.7894736842105300,35.75268817204300,2.2916666666666700,F
19m,4161,2,1.7894736842105300,35.75268817204300,2.2916666666666700,F
20m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
21m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
22m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
23m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
24m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
25m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
26m,4161,2,1.7894736842105300,35.75268817204300,2.2916666666666700,F
27m,4161,2,1.7894736842105300,35.75268817204300,2.2916666666666700,F
28m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
29m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
30m,4161,2,1.7894736842105300,35.75268817204300,2.2916666666666700,F
1m,4191,1,1.725,21.068249258160200,2.6315789473684200,F
2m,4191,5,1.725,21.068249258160200,2.6315789473684200,F
3m,4191,3,1.725,21.068249258160200,2.6315789473684200,F
4m,4191,5,1.725,21.068249258160200,2.6315789473684200,F
5m,4191,5,1.725,21.068249258160200,2.6315789473684200,F
6m,4191,3,1.725,21.068249258160200,2.6315789473684200,F
7m,4191,4,1.725,21.068249258160200,2.6315789473684200,F
8m,4191,5,1.725,21.068249258160200,2.6315789473684200,F
9m,4191,5,1.725,21.068249258160200,2.6315789473684200,F
10m,4191,1,1.725,21.068249258160200,2.6315789473684200,F
11m,4191,1,1.725,21.068249258160200,2.6315789473684200,F
12m,4191,3,1.725,21.068249258160200,2.6315789473684200,F
13m,4191,5,1.725,21.068249258160200,2.6315789473684200,F
14m,4191,3,1.725,21.068249258160200,2.6315789473684200,F
15m,4191,3,1.725,21.068249258160200,2.6315789473684200,F
16m,4191,2,1.725,21.068249258160200,2.6315789473684200,F
17m,4191,4,1.725,21.068249258160200,2.6315789473684200,F
18m,4191,7,1.725,21.068249258160200,2.6315789473684200,F
19m,4191,6,1.725,21.068249258160200,2.6315789473684200,F
20m,4191,5,1.725,21.068249258160200,2.6315789473684200,F
21m,4191,3,1.725,21.068249258160200,2.6315789473684200,F
22m,4191,3,1.725,21.068249258160200,2.6315789473684200,F
23m,4191,3,1.725,21.068249258160200,2.6315789473684200,F
24m,4191,3,1.725,21.068249258160200,2.6315789473684200,F
25m,4191,2,1.725,21.068249258160200,2.6315789473684200,F
26m,4191,4,1.725,21.068249258160200,2.6315789473684200,F
27m,4191,7,1.725,21.068249258160200,2.6315789473684200,F
28m,4191,6,1.725,21.068249258160200,2.6315789473684200,F
29m,4191,2,1.725,21.068249258160200,2.6315789473684200,F
30m,4191,7,1.725,21.068249258160200,2.6315789473684200,F
1m,4211,3,1.916030534351150,44.73684210526320,2.7383177570093500,F
2m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
3m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
4m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
5m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
6m,4211,4,1.916030534351150,44.73684210526320,2.7383177570093500,F
7m,4211,3,1.916030534351150,44.73684210526320,2.7383177570093500,F
8m,4211,4,1.916030534351150,44.73684210526320,2.7383177570093500,F
9m,4211,1,1.916030534351150,44.73684210526320,2.7383177570093500,F
10m,4211,1,1.916030534351150,44.73684210526320,2.7383177570093500,F
11m,4211,1,1.916030534351150,44.73684210526320,2.7383177570093500,F
12m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
13m,4211,1,1.916030534351150,44.73684210526320,2.7383177570093500,F
14m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
15m,4211,1,1.916030534351150,44.73684210526320,2.7383177570093500,F
16m,4211,3,1.916030534351150,44.73684210526320,2.7383177570093500,F
17m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
18m,4211,4,1.916030534351150,44.73684210526320,2.7383177570093500,F
19m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
20m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
21m,4211,1,1.916030534351150,44.73684210526320,2.7383177570093500,F
22m,4211,1,1.916030534351150,44.73684210526320,2.7383177570093500,F
23m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
24m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
25m,4211,3,1.916030534351150,44.73684210526320,2.7383177570093500,F
26m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
27m,4211,4,1.916030534351150,44.73684210526320,2.7383177570093500,F
28m,4211,1,1.916030534351150,44.73684210526320,2.7383177570093500,F
29m,4211,1,1.916030534351150,44.73684210526320,2.7383177570093500,F
30m,4211,2,1.916030534351150,44.73684210526320,2.7383177570093500,F
1m,4221,3,1.8095238095238100,40.45584045584050,2.453781512605040,F
