number,id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
204,24k,4200,2,1.829457364,29.2358804,3.105882353,M
205,25k,4200,3,1.829457364,29.2358804,3.105882353,M
206,26k,4200,1,1.829457364,29.2358804,3.105882353,M
207,27k,4200,1,1.829457364,29.2358804,3.105882353,M
208,28k,4200,1,1.829457364,29.2358804,3.105882353,M
209,29k,4200,1,1.829457364,29.2358804,3.105882353,M
210,30k,4200,2,1.829457364,29.2358804,3.105882353,M
211,1k,6060,1,1.912280702,34.46327684,3.384615385,M
212,2k,6060,3,1.912280702,34.46327684,3.384615385,M
213,3k,6060,2,1.912280702,34.46327684,3.384615385,M
214,4k,6060,3,1.912280702,34.46327684,3.384615385,M
215,5k,6060,1,1.912280702,34.46327684,3.384615385,M
216,6k,6060,1,1.912280702,34.46327684,3.384615385,M
217,7k,6060,1,1.912280702,34.46327684,3.384615385,M
218,8k,6060,1,1.912280702,34.46327684,3.384615385,M
219,9k,6060,1,1.912280702,34.46327684,3.384615385,M
220,10k,6060,1,1.912280702,34.46327684,3.384615385,M
221,11k,6060,2,1.912280702,34.46327684,3.384615385,M
222,12k,6060,1,1.912280702,34.46327684,3.384615385,M
223,13k,6060,1,1.912280702,34.46327684,3.384615385,M
224,14k,6060,2,1.912280702,34.46327684,3.384615385,M
225,15k,6060,1,1.912280702,34.46327684,3.384615385,M
226,16k,6060,2,1.912280702,34.46327684,3.384615385,M
227,17k,6060,1,1.912280702,34.46327684,3.384615385,M
228,18k,6060,1,1.912280702,34.46327684,3.384615385,M
229,19k,6060,3,1.912280702,34.46327684,3.384615385,M
230,20k,6060,1,1.912280702,34.46327684,3.384615385,M
231,21k,6060,2,1.912280702,34.46327684,3.384615385,M
232,22k,6060,2,1.912280702,34.46327684,3.384615385,M
233,23k,6060,1,1.912280702,34.46327684,3.384615385,M
234,24k,6060,1,1.912280702,34.46327684,3.384615385,M
235,25k,6060,3,1.912280702,34.46327684,3.384615385,M
236,26k,6060,1,1.912280702,34.46327684,3.384615385,M
237,27k,6060,1,1.912280702,34.46327684,3.384615385,M
238,28k,6060,1,1.912280702,34.46327684,3.384615385,M
239,29k,6060,1,1.912280702,34.46327684,3.384615385,M
240,30k,6060,1,1.912280702,34.46327684,3.384615385,M
241,1k,6080,3,1.832,25,3.833333333,M
242,2k,6080,2,1.832,25,3.833333333,M
243,3k,6080,2,1.832,25,3.833333333,M
244,4k,6080,1,1.832,25,3.833333333,M
245,5k,6080,1,1.832,25,3.833333333,M
246,6k,6080,1,1.832,25,3.833333333,M
247,7k,6080,1,1.832,25,3.833333333,M
248,8k,6080,2,1.832,25,3.833333333,M
249,9k,6080,1,1.832,25,3.833333333,M
250,10k,6080,1,1.832,25,3.833333333,M
251,11k,6080,2,1.832,25,3.833333333,M
252,12k,6080,3,1.832,25,3.833333333,M
253,13k,6080,1,1.832,25,3.833333333,M
254,14k,6080,5,1.832,25,3.833333333,M
255,15k,6080,2,1.832,25,3.833333333,M
256,16k,6080,3,1.832,25,3.833333333,M
257,17k,6080,1,1.832,25,3.833333333,M
258,18k,6080,2,1.832,25,3.833333333,M
259,19k,6080,6,1.832,25,3.833333333,M
260,20k,6080,1,1.832,25,3.833333333,M
261,21k,6080,2,1.832,25,3.833333333,M
262,22k,6080,2,1.832,25,3.833333333,M
263,23k,6080,1,1.832,25,3.833333333,M
264,24k,6080,1,1.832,25,3.833333333,M
265,25k,6080,3,1.832,25,3.833333333,M
266,26k,6080,1,1.832,25,3.833333333,M
267,27k,6080,1,1.832,25,3.833333333,M
268,28k,6080,1,1.832,25,3.833333333,M
269,29k,6080,1,1.832,25,3.833333333,M
270,30k,6080,1,1.832,25,3.833333333,M
271,1k,7040,3,1.714285714,42.35588972,2.183333333,M
272,2k,7040,2,1.714285714,42.35588972,2.183333333,M
273,3k,7040,3,1.714285714,42.35588972,2.183333333,M
274,4k,7040,2,1.714285714,42.35588972,2.183333333,M
275,5k,7040,2,1.714285714,42.35588972,2.183333333,M
276,6k,7040,1,1.714285714,42.35588972,2.183333333,M
277,7k,7040,1,1.714285714,42.35588972,2.183333333,M
278,8k,7040,1,1.714285714,42.35588972,2.183333333,M
279,9k,7040,2,1.714285714,42.35588972,2.183333333,M
280,10k,7040,1,1.714285714,42.35588972,2.183333333,M
281,11k,7040,1,1.714285714,42.35588972,2.183333333,M
282,12k,7040,2,1.714285714,42.35588972,2.183333333,M
283,13k,7040,1,1.714285714,42.35588972,2.183333333,M
284,14k,7040,3,1.714285714,42.35588972,2.183333333,M
285,15k,7040,1,1.714285714,42.35588972,2.183333333,M
286,16k,7040,2,1.714285714,42.35588972,2.183333333,M
287,17k,7040,2,1.714285714,42.35588972,2.183333333,M
288,18k,7040,2,1.714285714,42.35588972,2.183333333,M
289,19k,7040,3,1.714285714,42.35588972,2.183333333,M
290,20k,7040,2,1.714285714,42.35588972,2.183333333,M
291,21k,7040,2,1.714285714,42.35588972,2.183333333,M
292,22k,7040,3,1.714285714,42.35588972,2.183333333,M
293,23k,7040,1,1.714285714,42.35588972,2.183333333,M
294,24k,7040,2,1.714285714,42.35588972,2.183333333,M
295,25k,7040,3,1.714285714,42.35588972,2.183333333,M
296,26k,7040,1,1.714285714,42.35588972,2.183333333,M
297,27k,7040,1,1.714285714,42.35588972,2.183333333,M
298,28k,7040,1,1.714285714,42.35588972,2.183333333,M
299,29k,7040,1,1.714285714,42.35588972,2.183333333,M
300,30k,7040,2,1.714285714,42.35588972,2.183333333,M
301,1k,7060,3,1.84962406,29.13385827,2.464,M
302,2k,7060,2,1.84962406,29.13385827,2.464,M
303,3k,7060,2,1.84962406,29.13385827,2.464,M
304,4k,7060,1,1.84962406,29.13385827,2.464,M
305,5k,7060,1,1.84962406,29.13385827,2.464,M
306,6k,7060,1,1.84962406,29.13385827,2.464,M
307,7k,7060,1,1.84962406,29.13385827,2.464,M
308,8k,7060,1,1.84962406,29.13385827,2.464,M
309,9k,7060,1,1.84962406,29.13385827,2.464,M
310,10k,7060,1,1.84962406,29.13385827,2.464,M
311,11k,7060,1,1.84962406,29.13385827,2.464,M
312,12k,7060,2,1.84962406,29.13385827,2.464,M
313,13k,7060,1,1.84962406,29.13385827,2.464,M
314,14k,7060,2,1.84962406,29.13385827,2.464,M
315,15k,7060,1,1.84962406,29.13385827,2.464,M
